departure,arrival,time_of_year,price
MHT,CLT,2026.5,296.2313000000004
PVD,CLT,2026.5,268.3337000000002
BOS,CMH,2026.5,269.5979999999997
MHT,CMH,2026.5,276.05999999999966
PVD,CMH,2026.5,234.37879999999984
BOS,STL,2026.5,275.18639999999965
MHT,STL,2026.5,277.6084999999998
PVD,STL,2026.5,302.00629999999995
BOS,MYR,2026.5,133.80820000000014
MHT,MYR,2026.5,222.4716
PVD,MYR,2026.5,187.4288000000002
BOS,JAX,2026.5,224.7970000000001
MHT,JAX,2026.5,268.1648999999998
PVD,JAX,2026.5,210.0381000000001
BOS,DTW,2026.5,205.9647999999999
MHT,DTW,2026.5,280.82050000000004
PVD,DTW,2026.5,288.0980999999995
BOS,HOU,2026.5,242.74160000000032
BOS,IAH,2026.5,268.61660000000006
MHT,HOU,2026.5,281.9747999999996
MHT,IAH,2026.5,372.4395999999995
PVD,HOU,2026.5,253.79940000000005
PVD,IAH,2026.5,324.5538000000005
BOS,MCO,2026.5,206.0230999999999
MHT,MCO,2026.5,190.03480000000008
PVD,MCO,2026.5,187.89670000000007
BOS,MSP,2026.5,245.1974000000004
MHT,MSP,2026.5,273.1657999999998
PVD,MSP,2026.5,239.53269999999972
BOS,EWR,2026.5,177.37020000000012
BOS,HPN,2026.5,155.75590000000014
BOS,ISP,2026.5,227.43849999999995
BOS,JFK,2026.5,184.3185
BOS,LGA,2026.5,172.00309999999993
MHT,ISP,2026.5,262.53449999999987
PVD,EWR,2026.5,237.7872999999997
BOS,RSW,2026.5,265.3474999999997
MHT,RSW,2026.5,284.8111999999999
PVD,RSW,2026.5,191.7047000000001
BOS,LAS,2026.5,340.1585000000004
MHT,LAS,2026.5,305.31710000000004
PVD,LAS,2026.5,341.98539999999963
BOS,IND,2026.5,290.3084999999999
MHT,IND,2026.5,281.50320000000033
PVD,IND,2026.5,280.93769999999995
BOS,OAK,2026.5,288.5389
BOS,SFO,2026.5,346.8154999999999
BOS,SJC,2026.5,295.4188999999999
MHT,OAK,2026.5,304.035
MHT,SFO,2026.5,515.9032000000001
MHT,SJC,2026.5,423.9525000000005
PVD,OAK,2026.5,287.7831999999999
PVD,SFO,2026.5,441.3624000000004
PVD,SJC,2026.5,398.7610999999994
BOS,FLL,2026.5,209.0664000000001
BOS,MIA,2026.5,237.5500999999997
MHT,FLL,2026.5,263.51529999999974
MHT,MIA,2026.5,272.58080000000035
PVD,FLL,2026.5,201.1762
PVD,MIA,2026.5,254.78179999999992
BOS,BUR,2026.5,317.48580000000044
BOS,LAX,2026.5,380.4287000000002
BOS,LGB,2026.5,234.27309999999983
BOS,ONT,2026.5,317.6214999999996
BOS,SNA,2026.5,373.1220999999997
MHT,BUR,2026.5,669.9305999999998
MHT,LAX,2026.5,348.4866999999995
MHT,LGB,2026.5,258.2449000000004
MHT,ONT,2026.5,313.6852000000004
MHT,SNA,2026.5,413.57
PVD,BUR,2026.5,337.4570999999996
PVD,LAX,2026.5,317.9548999999997
PVD,LGB,2026.5,237.43090000000024
PVD,ONT,2026.5,338.2341999999998
PVD,SNA,2026.5,412.3396000000001
BOS,SDF,2026.5,227.7032999999999
MHT,SDF,2026.5,268.7529999999998
PVD,SDF,2026.5,254.4331999999996
BOS,CVG,2026.5,273.33849999999995
MHT,CVG,2026.5,275.3421999999998
PVD,CVG,2026.5,158.88379999999992
BOS,SMF,2026.5,326.52159999999986
MHT,SMF,2026.5,367.6677000000002
PVD,SMF,2026.5,383.2034999999999
BOS,TPA,2026.5,211.0033
MHT,TPA,2026.5,253.96179999999967
PVD,TPA,2026.5,207.6148999999997
BOS,MCI,2026.5,258.96329999999966
MHT,MCI,2026.5,311.3139999999997
PVD,MCI,2026.5,257.0844999999999
BOS,SAT,2026.5,231.3134999999997
MHT,SAT,2026.5,283.5856999999998
PVD,SAT,2026.5,259.2202999999997
BOS,MKE,2026.5,194.3932999999999
MHT,MKE,2026.5,273.1765999999999
PVD,MKE,2026.5,242.703
BOS,MSY,2026.5,231.58719999999997
MHT,MSY,2026.5,273.6027999999997
PVD,MSY,2026.5,250.69639999999956
BOS,SAN,2026.5,329.7408999999997
MHT,SAN,2026.5,374.2344000000001
PVD,SAN,2026.5,343.5699999999997
BOS,ORF,2026.5,236.4187999999997
BOS,PHF,2026.5,265.86070000000024
MHT,ORF,2026.5,247.26799999999972
MHT,PHF,2026.5,240.95360000000025
PVD,ORF,2026.5,160.18679999999983
PVD,PHF,2026.5,267.9506999999996
BOS,PBI,2026.5,248.4921000000001
MHT,PBI,2026.5,284.6763999999997
PVD,PBI,2026.5,238.69599999999997
BOS,PDX,2026.5,314.7334
MHT,PDX,2026.5,351.9370000000002
PVD,PDX,2026.5,372.7206000000001
BOS,PHL,2026.5,197.81679999999977
MHT,PHL,2026.5,288.98809999999975
PVD,PHL,2026.5,340.3422000000002
BOS,RDU,2026.5,223.79460000000017
MHT,RDU,2026.5,152.82180000000017
PVD,RDU,2026.5,158.91810000000012
BOS,RIC,2026.5,182.40390000000025
